{others : {func_name: H5VLconnector_str_to_info, time: 1665163937628470, input: under_vol=0;under_info={};path=/home/mtang11/scripts/local-co-scheduling/stat-sim.yaml;level=2;format=, }}
{file: {func_name: H5VLfile_create, time(us): 1665163939102349, file_name: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, file_no: 1, file_size: 2048, file_intent: H5F_ACC_RDWR, open_dsets_cnt: 0, open_grps_cnt: 0, open_dtypes_cnt: 0, ds_created: 0, ds_accessed: 0, }}
{file: {func_name: H5VLfile_optional, time(us): 1665163939102446, file_name: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, file_no: 1, file_size: 2048, file_intent: H5F_ACC_RDWR, open_dsets_cnt: 0, open_grps_cnt: 0, open_dtypes_cnt: 0, ds_created: 0, ds_accessed: 0, }}
{file: {func_name: H5VLfile_get, time(us): 1665163939103317, file_name: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, file_no: 1, file_size: 2048, file_intent: H5F_ACC_RDWR, open_dsets_cnt: 0, open_grps_cnt: 0, open_dtypes_cnt: 0, ds_created: 0, ds_accessed: 0, }}
{dataset: {func_name: H5VLdataset_create, time(us): 1665163939103512, dset_name: contact_map, dset_parent_file: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, dset_layout: H5D_CONTIGUOUS, dset_offset: -1, dset_nchunks: -1, dset_vlen_buf_size: -1, dset_type_size:0, dset_n_elements:-1, dset_space_size:0, dimension_cnt: 1, dimensions: [1000], }}
{dataset: {func_name: H5VLdataset_get, time(us): 1665163939103620, dset_name: contact_map, dset_parent_file: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, dset_layout: H5D_CONTIGUOUS, dset_offset: -1, dset_nchunks: -1, dset_vlen_buf_size: -1, dset_type_size:0, dset_n_elements:-1, dset_space_size:0, dimension_cnt: 1, dimensions: [1000], }}
{dataset: {func_name: H5VLdataset_get, time(us): 1665163939103657, dset_name: contact_map, dset_parent_file: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, dset_layout: H5D_CONTIGUOUS, dset_offset: -1, dset_nchunks: -1, dset_vlen_buf_size: -1, dset_type_size:0, dset_n_elements:-1, dset_space_size:0, dimension_cnt: 1, dimensions: [1000], }}
{dataset: {func_name: H5VLdataset_write, time(us): 1665163939108669, dset_name: contact_map, dset_parent_file: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, dset_layout: H5D_CONTIGUOUS, dset_offset: -1, dset_nchunks: -1, dset_vlen_buf_size: -1, dset_type_size:0, dset_n_elements:-1, dset_space_size:0, dimension_cnt: 1, dimensions: [1000], }}
{blob: {func_name: H5VLblob_put, blob_id: 0x7f8eb1e0601c, blob_size: 9304, file_name: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, file_no: 1, open_dsets_cnt: 1, {dset_name: contact_map, blob_put_cnt: 1, total_bytes_blob_put: 9304, }}}
{blob: {func_name: H5VLblob_put, blob_id: 0x7f8eb1e0602c, blob_size: 9392, file_name: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, file_no: 1, open_dsets_cnt: 1, {dset_name: contact_map, blob_put_cnt: 2, total_bytes_blob_put: 18696, }}}
{blob: {func_name: H5VLblob_put, blob_id: 0x7f8eb1e0603c, blob_size: 9280, file_name: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, file_no: 1, open_dsets_cnt: 1, {dset_name: contact_map, blob_put_cnt: 3, total_bytes_blob_put: 27976, }}}
{blob: {func_name: H5VLblob_put, blob_id: 0x7f8eb1e0604c, blob_size: 9280, file_name: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, file_no: 1, open_dsets_cnt: 1, {dset_name: contact_map, blob_put_cnt: 4, total_bytes_blob_put: 37256, }}}
{blob: {func_name: H5VLblob_put, blob_id: 0x7f8eb1e0605c, blob_size: 9280, file_name: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, file_no: 1, open_dsets_cnt: 1, {dset_name: contact_map, blob_put_cnt: 5, total_bytes_blob_put: 46536, }}}
{blob: {func_name: H5VLblob_put, blob_id: 0x7f8eb1e0606c, blob_size: 9280, file_name: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, file_no: 1, open_dsets_cnt: 1, {dset_name: contact_map, blob_put_cnt: 6, total_bytes_blob_put: 55816, }}}
{blob: {func_name: H5VLblob_put, blob_id: 0x7f8eb1e0607c, blob_size: 9216, file_name: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, file_no: 1, open_dsets_cnt: 1, {dset_name: contact_map, blob_put_cnt: 7, total_bytes_blob_put: 65032, }}}
{blob: {func_name: H5VLblob_put, blob_id: 0x7f8eb1e0608c, blob_size: 9344, file_name: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, file_no: 1, open_dsets_cnt: 1, {dset_name: contact_map, blob_put_cnt: 8, total_bytes_blob_put: 74376, }}}
{blob: {func_name: H5VLblob_put, blob_id: 0x7f8eb1e0609c, blob_size: 9296, file_name: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, file_no: 1, open_dsets_cnt: 1, {dset_name: contact_map, blob_put_cnt: 9, total_bytes_blob_put: 83672, }}}
{blob: {func_name: H5VLblob_put, blob_id: 0x7f8eb1e060ac, blob_size: 9364, file_name: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, file_no: 1, open_dsets_cnt: 1, {dset_name: contact_map, blob_put_cnt: 10, total_bytes_blob_put: 93036, }}}
{blob: {func_name: H5VLblob_put, blob_id: 0x7f8eb1e060bc, blob_size: 9296, file_name: molecular_dynamics_runs/stage0000/task0000/residue_100.h5, file_no: 1, open_dsets_cnt: 1, {dset_name: contact_map, blob_put_cnt: 11, total_bytes_blob_put: 102332, }}}
